Block_Location
2200 MILVIA ST
1700 UNIVERSITY AVE
2000 SAN PABLO AVE
1900 RUSSELL ST
1800 FOURTH ST
1700 UNIVERSITY AVE
2100 MARTIN LUTHER KING JR WY
2000 UNIVERSITY AVE
1400 SAN PABLO AVE
90 HAZEL
1900 RUSSELL ST
3000 TELEGRAPH AVE
2100 SAN PABLO AV
2100 PARKER ST
1400 UNIVERSITY AVE
1000 GILMAN ST
1900 ALLSTON WAY
1700 UNIVERSITY AVE
200 UNIVERSITY AVE
1100 SPRUCE ST
1500 HARMON ST
2600 SAN PABLO AVE
2700 GARBER ST
1400 SAN PABLO AVE
1800 UNIVERSITY AVE
GRANT STREET &amp; ALLSTON WY
2200 ACTON ST
1900 ASHBY AVE
1700 ROSE ST
1400 GRIZZLY PEAK BLVD
2100 BERKELEY WY
1900 YOLO AVE
2833 SEVENTH ST
1400 EASTSHORE HW
1500 OXFORD ST
2600 8TH ST
2300 NINTH ST
200 UNIVERSITY AVE
2600 DANA ST
ELLSWORTH STREET &amp; CHANNING WY
OXFORD STREET &amp; UNIVERSITY AV
1300 SAN PABLO AVE
1700 FOURTH ST
2400 BLAKE ST
1600 TENTH ST
3000 ADELINE ST
2400 PRINCE ST
2000 ASHBY AV
1500 SHATTUCK AVE
2300 FULTON ST
1200 SAN PABLO AVE
2700 CHANNING WAY
2200 DURANT AVE
900 INDIAN ROCK AVE
HARMON STREET &amp; BOISE ST
900 JONES ST
CHANNING WY &amp; CALIFORNIA ST
2300 MILVIA ST
2400 STUART ST
2500 ELLSWORTH ST
2800 ELLSWORTH ST
1300 UNIVERSITY AVE
2500 BANCROFT WAY
1300 NINTH ST
3100 M L KING JR WAY
2400 ASHBY AVE
1300 SAN PABLO AVE
1100 SUTTER ST
1600 TENTH ST
1200 ASHBY AVE
2000 FRANCISCO ST
1900 MARTIN LUTHER KING JR WY
2500 PIEDMONT AVE
COLLEGE AV &amp; HASTE ST
2000 ALLSTON WAY
2300 HASTE ST
1000 ASHBY AVE
2300 VALLEY ST
4TH ST/UNIVERSITY AVE
HEARST AV &amp; MC GEE AV
SHATTUCK AV &amp; BERKELEY WY
1000 CEDAR ST
1200 FIFTH ST
ALCATRAZ AV &amp; SACRAMENTO ST
1400 EASTSHORE HW
100 SEAWALL DR
1400 SEVENTH ST
1400 HOLLY ST
2600 SHATTUCK AVE
2200 CARLETON ST
600 GILMAN ST
2800 ADELINE ST
ADDISON STREET &amp; GRANT ST
2500 REGENT ST
BANCROFT WY &amp; TELEGRAPH AV
700 HEARST AV
2400 SHATTUCK AVE
1500 OXFORD ST
2400 EIGHTH ST
2000 SAN PABLO AVE
2200 DWIGHT WAY
1800 FIFTH ST
1500 UNIVERSITY AVE
"Berkeley, CA"
3100 ELLIS ST
1200 SIXTH ST
1200 BURNETT ST
2900 NINTH ST
DANA STREET &amp; HASTE ST
200 MARINA BLVD
ALLSTON WY &amp; 4TH ST
2100 SHATTUCK AVE
1700 FOURTH ST
1400 EDITH ST
1400 OXFORD ST
200 MARINA BLVD
1900 BERKELEY WAY
2200 SHATTUCK AVE
VINE STREET &amp; SHATTUCK AV
3000 COLBY ST
2100 SHATTUCK AVE
2600 SAN PABLO AVE
KITTREDGE STREET &amp; MILVIA ST
1300 UNIVERSITY AVE
2000 UNIVERSITY AVE
2100 PARKER ST
HASTE STREET &amp; TELEGRAPH AV
3300 CLAREMONT AVE
1700 HIGHLAND PL
2600 8TH ST
700 KEELER AVE
2600 DWIGHT WAY
RUSSELL STREET &amp; BENVENUE AV
1800 UNIVERSITY AVE
3300 KING ST
1100 CRAGMONT AVE
2000 DWIGHT WAY
1600 FIFTH ST
560 DWIGHT WAY
2600 REGENT ST
2100 OXFORD ST
2500 TELEGRAPH AVE
2400 VIRGINIA ST
2100 VINE ST
1200 FIFTH ST
700 ADDISON ST
1300 CARLETON ST
800 UNIVERSITY AVE
1500 SHATTUCK AVE
2600 PIEDMONT AVE
SHATTUCK AV &amp; CARLETON ST
2400 PROSPECT ST
710 EAST L ST
1300 WALNUT ST
2700 DURANT AV
2000 CENTER ST
2500 TELEGRAPH AVE
2000 SHATTUCK AVE
1300 QUEENS RD
2100 OXFORD ST
1500 WALNUT ST
1100 SECOND ST
2300 RUSSELL ST
2700 DURANT AV
600 SHATTUCK SQ
OXFORD STREET &amp; CENTER ST
2400 DOWLING PL
2100 SAN PABLO AVE
1500 SCENIC AV
2500 BANCROFT WAY
HEARST AV &amp; EUCLID AV
63RD STREET &amp;MARTIN LUTHER KING JUNIOR WAY
1700 FRANKLIN ST
1165 GRIZZLY PEAK
1700 M L KING JR WAY
2500 DURANT AVE
2100 HASTE ST
2500 MILVIA ST
2800 DERBY ST
2600 BANCROFT WAY
2100 ADDISON ST
ALLSTON WY &amp; SAN PABLO AV
2400 DURANT AVE
1400 SEVENTH ST
2200 BLAKE ST
100 SEAWALL DR
1300 2ND ST
2600 WARRING ST
1600 BEVERLY PL
2100 CENTER ST
2300 BANCROFT WAY
1300 NINTH ST
2400 PIEDMONT AVE
1100 UNIVERSITY AVE
2000 SAN PABLO AVE
CENTER STREET &amp; MILVIA ST
500 GRIZZLY PEAK BLVD
COLLEGE AV &amp; ASHBY AV
2000 KITTREDGE ST
2600 HILLEGASS AVE
2800 ADELINE ST
2200 MILVIA ST
8TH STREET &amp; DELAWARE ST
2100 ALLSTON WAY
3100 SAN PABLO AVE
1900 ALLSTON WAY
800 HEINZ AVE
2100 FOURTH ST
1500 UNIVERSITY AVE
1700 HARMON ST
1800 CURTIS ST
1300 SIXTY-SEVENTH ST
2000 UNIVERSITY AVE
2500 BANCROFT WAY
400 SHATTUCK SQ
800 VIRGINIA ST
2000 SAN PABLO AVE
1300 FOURTH ST
1000 CHANNING WAY
2400 PIEDMONT AVE
10 SPINNAKER WAY
2600 SAN PABLO AVE
100 BERKELEY SQ
SACRAMENTO STREET &amp; DWIGHT WY
2700 MABEL ST
2700 MILVIA ST
1400 SHATTUCK AVE
2100 CENTER ST
2300 TELEGRAPH AVE
2000 ALLSTON WAY
2100 FIFTH ST
2000 UNIVERSITY AVE
2300 BONAR ST
2100 CHANNING WAY
2300 SAN PABLO AVE
400 GILMAN ST
CAMELIA STREET &amp; 6TH ST
2300 DURANT AVE
1700 SPRUCE ST
1100 ADDISON ST
